Date,iddate,ANTPAL,CORTOW,EPTFUS,EUDMAC,EUMPER,EUMUND,LASBLO,LASCIN,LASNOC,LASXAN,MACCAL,MYOCAL,MYOCIL,MYOEVO,MYOOCC,MYOTHY,MYOVEL,MYOVOL,MYOYUM,NYCFEM,NYCMAC,PARHES,TADBRA,NOID,TotBatDet,NOISE,Species
12/14/2020,SN493093 2020-12-14,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0
12/15/2020,SN493093 2020-12-15,,,,,,,,,1,,,,,,,,,,,,,,,0,1,8,1
12/16/2020,SN493093 2020-12-16,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,0
12/17/2020,SN493093 2020-12-17,,,,,,,,,,,,,,,,,,,,,,,1,0,1,3,1
12/18/2020,SN493093 2020-12-18,,,,,,,,,,,,,1,,,,,,,,,,,0,1,4,1
12/19/2020,SN493093 2020-12-19,,,,,,,,,,,,,,,,,,,,,,,,1,1,34,0
12/20/2020,SN493093 2020-12-20,,,,,,,,,,,,,,,,,,,,2,1,,,2,5,27,2
12/21/2020,SN493093 2020-12-21,,,1,,,,1,,,,,,,,,,,,,2,,,1,3,8,11,4
12/22/2020,SN493093 2020-12-22,,,,,,,,,1,,,,,,,,,,,,,,3,1,5,10,2
12/23/2020,SN493093 2020-12-23,,,,,,,,,4,,,,,,,,,,,,,,,0,4,8,1
12/24/2020,SN493093 2020-12-24,,,,,,,,,1,,,,,,,,,,,,,,1,1,3,100,2
12/25/2020,SN493093 2020-12-25,,,1,,,,,,2,,,,,,,,,,,,,,2,1,6,41,3
12/26/2020,SN493093 2020-12-26,,,1,,,,,,,,,,,,,,,,,1,,,,1,3,7,2
12/27/2020,SN493093 2020-12-27,,,,,,,,1,1,,,,,,,,,,,,,,,1,3,25,2
12/28/2020,SN493093 2020-12-28,,,,,,,,,,,,,,,,,,,,,,,,0,0,11,0
12/29/2020,SN493093 2020-12-29,,,,,,,,,,,,,,,,,,,,,,,,0,0,19,0
12/30/2020,SN493093 2020-12-30,,,,,,,,,1,,,,,,,,,,,,,,,1,2,26,1
12/31/2020,SN493093 2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,0
1/1/2021,SN493093 2021-01-01,,,,,,,,,1,,,,,,,,,,,,,,1,1,3,19,2
1/2/2021,SN493093 2021-01-02,,,,,,,,,1,,,,,,,,,,,,,,1,1,3,11,2
1/3/2021,SN493093 2021-01-03,,,,,,,,,,,,,,,,,,,,,,,2,0,2,3,1
1/4/2021,SN493093 2021-01-04,,,,,,,,1,2,,,,,,,,,,,,,,2,1,6,45,3
1/5/2021,SN493093 2021-01-05,,,1,,,,,,1,,,1,,,,,,,,,,,2,4,9,26,4
1/6/2021,SN493093 2021-01-06,,,,,,,,1,1,,,,,,,,,,,,,,3,1,6,16,3
1/7/2021,SN493093 2021-01-07,,,,,,,,,4,,,,,,,,,,,2,1,,2,2,11,60,4
1/8/2021,SN493093 2021-01-08,,,,,,,,,2,,,,,,,,,,,1,,,1,5,9,14,3
1/9/2021,SN493093 2021-01-09,,,1,,,,,,,,,,,,,,,,,,,,,0,1,5,1
1/10/2021,SN493093 2021-01-10,,,,,,,,,1,1,,,,,,,,,,,,1,3,2,8,42,4
1/11/2021,SN493093 2021-01-11,,,,,,,,,2,,,,,,,,,,,,,,,1,3,70,1
1/12/2021,SN493093 2021-01-12,,,,,,,,1,2,,,,,,,,,,,1,,,1,1,6,118,4
1/13/2021,SN493093 2021-01-13,,,,,,,,1,3,,,,,,,,,,,,,,5,8,17,516,3
1/14/2021,SN493093 2021-01-14,,,7,,,,,2,21,,,,,,,,1,,1,1,,2,17,19,71,212,8
1/15/2021,SN493093 2021-01-15,,,2,,,,,1,8,6,,,,,,,,1,,,,1,43,5,67,65,7
1/16/2021,SN493093 2021-01-16,,,1,,,,,,10,,,,,,,,,,,2,,3,28,22,66,53,5
1/17/2021,SN493093 2021-01-17,,,,,,,,8,2,6,,,,,,,,,,,,1,14,17,48,133,5
1/18/2021,SN493093 2021-01-18,,,,,,,,,4,,,,1,,,,,,,,,,61,15,81,73,3
1/19/2021,SN493093 2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,0
1/20/2021,SN493093 2021-01-20,,,,,,,,2,3,,,,,,,,,,1,,1,,2,2,11,33,5
1/21/2021,SN493093 2021-01-21,,,,,,,,2,,,,,,,,,1,,,,,,1,0,4,25,3
1/22/2021,SN493093 2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,0
1/23/2021,SN493093 2021-01-23,,,,,,,,,,,,,,,,,,,,,,,,0,0,58,0
1/24/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1/25/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1/26/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1/27/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1/28/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1/29/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1/30/2021,SN493093 2021-01-30,,,,,,,,,,,,,,,,,,,,,,,1,0,1,5,1
1/31/2021,SN493093 2021-01-31,,,,,,,,,2,,,,,,,,,,,,,,,0,2,14,1
2/1/2021,SN493093 2021-02-01,,,,,,,,,,,,,,,,,,,,,,,2,2,4,7,1
2/2/2021,SN493093 2021-02-02,,,,,,,,2,6,,,,,,,,1,,,,,,6,10,25,31,4
2/3/2021,SN493093 2021-02-03,,,10,,,,,1,11,,,,,,,,2,,,,,6,45,31,106,67,6
2/4/2021,SN493093 2021-02-04,,,,,,,,,2,,,,,,,,,,,,,,,2,4,58,1
2/5/2021,SN493093 2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,0,0,42,0
2/6/2021,SN493093 2021-02-06,,,,,,,,,11,,,,,,,,,,,,,,6,1,18,39,2
2/7/2021,SN493093 2021-02-07,,,,,,,,,,,,,,,,,,,,1,,,16,5,22,17,2
2/8/2021,SN493093 2021-02-08,,,1,,,,,,4,,,,,,,,,,,,,,,5,10,17,2
2/9/2021,SN493093 2021-02-09,,,,,,,,,8,,,,,,,,,,,,,,9,3,20,62,2
2/10/2021,SN493093 2021-02-10,,,,,,,,,30,,,,,,,,,,,,,,4,5,39,33,2
2/11/2021,SN493093 2021-02-11,,,1,,,,,,,,,,,,,,,,,,,1,3,2,7,41,3
2/12/2021,SN493093 2021-02-12,,,,,,,,,1,,,,,,,,,,,,,,,0,1,6,1
2/13/2021,SN493093 2021-02-13,,,,,,,,,,,,,,,,,,,1,,,,,1,2,46,1
2/14/2021,SN493093 2021-02-14,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,0
2/15/2021,SN493093 2021-02-15,,,,,,,,,1,,,,,,,,,,,1,,1,,1,4,13,3
2/16/2021,SN493093 2021-02-16,,,1,,,,,,,,,,,,,,,,,,,,,0,1,39,1
2/17/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2/18/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2/19/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2/20/2021,SN493093 2021-02-20,,,,,,,,,1,,,,1,,,,,,,,,,,2,4,53,2
2/21/2021,SN493093 2021-02-21,,,,,,,,,2,2,,,,,,,,,,,,,8,4,16,157,3
2/22/2021,SN493093 2021-02-22,,,2,,,,,2,5,10,,,,,,,,,,,,2,27,18,66,98,6
2/23/2021,SN493093 2021-02-23,,,1,,,,,,4,4,,,,,,,1,,,,,1,9,12,32,43,6
2/24/2021,SN493093 2021-02-24,,,1,,,,,,5,,,,,,,,,,,,,,17,7,30,60,3
2/25/2021,SN493093 2021-02-25,,,,,,,,,1,1,,,,,,,,,,,,,,4,6,9,2
2/26/2021,SN493093 2021-02-26,,,,,,,,,3,,,,,,,,,,,,,,11,1,15,33,2
2/27/2021,SN493093 2021-02-27,,,1,,,,,,,,,,,,,,,,,,,,2,0,3,71,2
2/28/2021,SN493093 2021-02-28,,,,,,,,,,,,,,,,,,,,,,,2,0,2,48,1
3/1/2021,SN493093 2021-03-01,,,,,,,,,17,,,,,,,,,1,,1,,,20,12,51,29,4
3/2/2021,SN493093 2021-03-02,,,,,,,,,1,1,,,,,,,,,,,,,,2,4,117,2
3/3/2021,SN493093 2021-03-03,,,,,,,,,,,,,,,,,1,,,,,,2,2,5,20,2
3/4/2021,SN493093 2021-03-04,,,1,,,,,1,3,,,,,,,,,,,,,,5,4,14,14,4
3/5/2021,SN493093 2021-03-05,,,2,,,,,1,10,,,1,,,,,,,,,,1,3,12,30,75,6
3/6/2021,SN493093 2021-03-06,,,,,,,,1,1,,,,,,,,,,,,,,5,4,11,37,3
3/7/2021,SN493093 2021-03-07,,,,,,,,1,1,,,,,,,,,,,,,,,6,8,53,2
3/8/2021,SN493093 2021-03-08,,,,,,,,1,2,,,,1,,,,1,,,1,,1,4,5,16,92,7
3/9/2021,SN493093 2021-03-09,,,2,,,,,,,2,,,,,,,,,,,,,1,4,9,109,3
3/10/2021,SN493093 2021-03-10,,,,,,,,,,,,,1,,,,,,,,,,,0,1,7,1
3/11/2021,SN493093 2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,0
3/12/2021,SN493093 2021-03-12,,,,,,,,,,,,,,,,,,,,,,,,1,1,46,0
3/13/2021,SN493093 2021-03-13,,,,,,,,,,,,,1,,,,,,,,,,,0,1,6,1
3/14/2021,SN493093 2021-03-14,,,1,,,,,,1,,,,,,,,,,,,,1,2,4,9,21,4
3/15/2021,SN493093 2021-03-15,,,2,,,,,,1,,,,2,,,,1,,,1,,,,5,12,184,5
3/16/2021,SN493093 2021-03-16,,,1,,,,,,,,,,,,,,,,,,,,,1,2,0,1
3/17/2021,SN493093 2021-03-17,,,,,,,,,1,,,1,,,,,,,,,,,,0,2,72,2
3/18/2021,SN493093 2021-03-18,,,,,,,,1,1,,,,,,,,,,,,,,1,2,5,34,3
3/19/2021,SN493093 2021-03-19,,,1,,,,,,1,,,,,,,,1,,,,,1,,3,7,58,4
3/20/2021,SN493093 2021-03-20,,,5,,,,,1,1,,1,1,1,,,,7,1,,,,6,5,18,47,170,10
3/21/2021,SN493093 2021-03-21,,,,,,,,1,1,1,,,,,,,1,,,,,14,6,5,29,74,6
3/22/2021,SN493093 2021-03-22,,,,,,,,,1,1,,,,,,,1,,,,,,2,3,8,143,4
3/23/2021,SN493093 2021-03-23,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,0
3/24/2021,SN493093 2021-03-24,,,1,,,,,,,,,,,,,,1,,,,,,,3,5,35,2
3/25/2021,SN493093 2021-03-25,,,1,,,,,,2,,,2,1,,,,2,1,,,,,1,9,19,48,7
3/26/2021,SN493093 2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,0
3/27/2021,SN493093 2021-03-27,,,4,,,,1,,,,,1,,,,,1,,,,,,,7,14,74,4
3/28/2021,SN493093 2021-03-28,,,6,,,,,,,,,,1,,,,2,,,,,,1,6,16,89,4
3/29/2021,SN493093 2021-03-29,2,,,,,,,,5,,,2,2,,,,8,1,,,,16,1,16,53,119,8
3/30/2021,SN493093 2021-03-30,,,8,,,,1,2,4,5,,1,4,,,,3,,,,,7,12,33,80,230,10
3/31/2021,SN493093 2021-03-31,2,,22,,,,,,7,,,,1,,,,4,,,,,,23,27,86,225,6
4/1/2021,SN493093 2021-04-01,1,,2,,,,,1,6,,,1,3,,1,,43,1,1,,,1,9,39,109,354,12
4/2/2021,SN493093 2021-04-02,,,11,,,,,2,3,,1,3,4,,,,15,1,,,,8,2,46,96,252,10
4/3/2021,SN493093 2021-04-03,,,11,,,,,3,8,,,,3,,,,38,2,1,,,1,4,43,114,284,9
4/4/2021,SN493093 2021-04-04,,,14,,,,,13,11,,,2,3,,,,7,1,,3,,2,33,63,152,327,10
4/5/2021,SN493093 2021-04-05,,1,9,,,,,10,10,1,,2,6,,,,30,5,,,,14,12,56,156,367,11
4/6/2021,SN493093 2021-04-06,1,,10,,,1,,10,4,7,,,8,,,,32,5,4,,,2,31,61,176,336,12
4/7/2021,SN493093 2021-04-07,,,3,,,,,2,4,,,,2,,,,7,2,2,,,1,1,23,47,178,9
4/8/2021,SN493093 2021-04-08,,,15,,,,,2,,,,,,,,,18,2,,,,14,2,25,78,244,6
4/9/2021,SN493093 2021-04-09,1,,16,,,,,4,12,2,,,,,,,11,5,,,,13,9,25,98,237,9
4/10/2021,SN493093 2021-04-10,,,12,,,,2,1,7,,,1,,,,,2,1,,,,3,14,17,60,162,9
4/11/2021,SN493093 2021-04-11,,,2,,,,,2,2,,,,1,,,,2,1,,,,,2,8,20,97,7
4/12/2021,SN493093 2021-04-12,,,2,,,,,2,1,,,,,,,,2,,1,,,,7,2,17,106,6
4/13/2021,SN493093 2021-04-13,,,,,,,1,2,2,,,,2,,,,10,1,,1,,3,,26,48,131,8
4/14/2021,SN493093 2021-04-14,,,1,,,,2,4,3,,,,2,,,,3,,,,,11,2,14,42,88,8
4/15/2021,SN493093 2021-04-15,,,2,,,,,,12,,,,,,,,,,,,,8,6,12,40,91,4
4/16/2021,SN493093 2021-04-16,,,2,,,,,1,6,,,,,,,,3,,,2,,,5,4,23,130,6
4/17/2021,SN493093 2021-04-17,,,4,,,,,,1,,,,2,,,,8,,,,,1,6,13,35,113,6
4/18/2021,SN493093 2021-04-18,,,1,,,,,3,,,,,,,,,1,1,,,,,3,2,11,58,5
4/19/2021,SN493093 2021-04-19,,,2,,,,,10,5,,,,,,,,1,,,,,2,7,9,36,117,6
4/20/2021,SN493093 2021-04-20,,,14,,,,,2,4,2,,,2,,,,7,,,,,1,10,12,54,160,8
4/21/2021,SN493093 2021-04-21,,,7,,,,,2,1,,,,3,,,,5,3,2,,,22,4,32,81,89,9
4/22/2021,SN493093 2021-04-22,17,,21,,,,,,3,,,,3,,,,10,1,1,,,,,27,83,65,7
4/23/2021,SN493093 2021-04-23,14,,29,,,,,2,,,,1,2,,1,,15,2,1,,,3,,33,103,59,10
4/24/2021,SN493093 2021-04-24,,,4,,,,,1,,,,,6,,,,13,1,,,,3,1,9,38,69,7
4/25/2021,SN493093 2021-04-25,,,55,,,,,4,3,,,1,,,1,,5,,,,,20,1,22,112,115,8
4/26/2021,SN493093 2021-04-26,,,,,,,,,,,,1,7,,,,3,,,,,1,,8,20,78,4
4/27/2021,SN493093 2021-04-27,,,,,,,,,,,,,2,,,,3,,,,,,,8,13,69,2
4/28/2021,SN493093 2021-04-28,10,,3,,,,,,,,,1,4,,,,4,,1,,,,,7,30,67,6
4/29/2021,SN493093 2021-04-29,1,,123,,,,,3,,,,,1,,,,5,,,,,2,,35,170,93,6
4/30/2021,SN493093 2021-04-30,,,1,,,,,,,,,1,20,,,,6,,,,,,1,6,35,98,5
5/1/2021,SN493093 2021-05-01,9,,30,,,,,4,2,,,3,16,,,,12,3,2,,,16,3,54,154,174,11
5/2/2021,SN493093 2021-05-02,1,,1,,,,,10,,,,2,32,,,,70,3,1,1,,,3,67,191,256,10
5/3/2021,SN493093 2021-05-03,1,,7,,,,2,11,1,1,,3,73,,,,15,6,1,,,6,1,60,188,245,13
5/4/2021,SN493093 2021-05-04,1,,3,,,,,13,3,,,,36,,,,9,1,,,,1,1,38,106,197,9
5/5/2021,SN493093 2021-05-05,,,4,,,,,7,1,,,4,28,,,,11,3,,1,,,2,33,94,201,9
5/6/2021,SN493093 2021-05-06,10,,5,,,,,88,2,1,,2,62,,,,27,2,,2,,2,,58,261,253,11
5/7/2021,SN493093 2021-05-07,1,,3,,,,,17,3,,,4,53,,,,9,1,,1,,1,2,44,139,211,11
5/8/2021,SN493093 2021-05-08,1,,6,,,,,36,,2,,1,21,,,,9,3,,1,,1,1,45,127,255,11
5/9/2021,SN493093 2021-05-09,1,,1,,,,,182,1,,,9,59,,,,45,5,,36,,1,1,128,469,276,11
5/10/2021,SN493093 2021-05-10,,,,,,,,165,2,1,,1,25,,,,2,,,,,1,2,44,243,136,8
5/11/2021,SN493093 2021-05-11,,,1,,,,,121,,,,1,11,,,,3,2,,,,,1,19,159,134,7
5/12/2021,SN493093 2021-05-12,,,4,,,,,152,2,,,1,18,,,,2,,,8,,,2,27,216,190,8
5/13/2021,SN493093 2021-05-13,,,3,,,,,138,1,,,,40,,,,3,,,,,1,1,26,213,159,7
5/14/2021,SN493093 2021-05-14,12,,6,,,,,45,4,1,,3,44,,,,5,,,10,,,1,31,162,137,10
5/15/2021,SN493093 2021-05-15,6,,7,,,,,18,2,,,2,121,,,,24,1,,,,2,3,62,248,170,10
5/16/2021,SN493093 2021-05-16,8,,5,,,,,5,1,1,,4,79,,,,4,1,,,,,2,24,134,105,10
5/17/2021,SN493093 2021-05-17,2,,2,,,,,6,1,,,1,104,,,,4,1,,,,,1,32,154,138,9
5/18/2021,SN493093 2021-05-18,1,,7,,,,,31,,,,,68,,,,12,,1,,,,2,40,162,118,7
5/19/2021,SN493093 2021-05-19,6,,22,,,,,33,,,,3,25,,1,1,15,,,,,1,1,71,179,140,10
5/20/2021,SN493093 2021-05-20,40,,54,,,,,6,1,,,2,27,,,,103,7,2,,,4,9,151,406,259,11
5/21/2021,SN493093 2021-05-21,5,,4,,,,,,3,,,2,21,,,,4,,2,1,,2,5,22,71,94,10
5/22/2021,SN493093 2021-05-22,,,2,,,,,,4,2,,,5,,,,2,,,,,,11,9,35,94,6
5/23/2021,SN493093 2021-05-23,3,,19,,,,,1,3,,,,48,,,,4,,,,,,7,20,105,128,7
5/24/2021,SN493093 2021-05-24,3,,48,,,,,2,5,,,,5,,,,6,,,,,,6,16,91,117,7
5/25/2021,SN493093 2021-05-25,,,32,,,,,1,3,,,,15,,1,,4,,,,,,,22,78,197,6
5/26/2021,SN493093 2021-05-26,,,32,,,,,,,,,,7,,,,2,,,,,,,14,55,183,3
5/27/2021,SN493093 2021-05-27,,,17,,,,1,,5,2,,,11,,,,2,,,,,21,3,23,85,122,8
5/28/2021,SN493093 2021-05-28,1,,6,,,,,1,1,,,,1,,,,3,,,,,1,3,9,26,71,8
5/29/2021,SN493093 2021-05-29,,,33,,,,,,3,,,,7,,,,4,,1,,,,6,3,57,68,6
5/30/2021,SN493093 2021-05-30,1,,2,,,,,,1,,,2,3,,,,3,,,,,,1,3,16,104,7
5/31/2021,SN493093 2021-05-31,,,5,,,,,1,3,,,,3,,,,5,1,1,,,,4,14,37,119,8
6/1/2021,SN493093 2021-06-01,19,,4,,,,,,,1,,,6,,,,7,1,,,,,,10,48,75,6
6/2/2021,SN493093 2021-06-02,1,1,1,,,,,,2,1,,,7,,,,12,1,,,,1,,11,38,106,9
6/3/2021,SN493093 2021-06-03,,,10,,,,,1,,1,,1,6,,,,30,3,,,,2,,53,107,128,8
6/4/2021,SN493093 2021-06-04,1,,4,,,,,,,1,,,19,,,,38,1,2,,,1,2,69,138,92,9
6/5/2021,SN493093 2021-06-05,3,,4,,,,,,,3,,1,11,,,,22,3,,,,2,,59,108,128,8
6/6/2021,SN493093 2021-06-06,1,,2,,,,,,1,1,,,3,,,,7,1,1,,,,2,10,29,65,9
6/7/2021,SN493093 2021-06-07,3,,6,,,,,,,,,,11,1,,,32,1,1,,,1,1,46,103,91,9
6/8/2021,SN493093 2021-06-08,,,1,,,,,,,,,,7,,,,4,1,,,,,,11,24,60,4
6/9/2021,SN493093 2021-06-09,,,6,,,,,,2,1,,,3,,,,4,,1,,,,2,7,26,63,7
6/10/2021,SN493093 2021-06-10,2,,7,,,,,,,,,,3,,,,3,2,,,,,,12,29,160,5
6/11/2021,SN493093 2021-06-11,,,6,,,,,,1,,,,2,,,,10,1,,1,,,,7,28,118,6
6/12/2021,SN493093 2021-06-12,13,1,9,,,,,,2,,,3,6,1,,,10,1,3,,,,3,23,75,89,11
6/13/2021,SN493093 2021-06-13,8,,9,,,,,,,1,,1,8,,,,28,4,1,,,2,5,38,105,151,10
6/14/2021,SN493093 2021-06-14,18,,22,,,,,2,6,1,,1,14,2,1,,89,13,4,,,19,12,110,314,458,14
6/15/2021,SN493093 2021-06-15,19,1,30,,,,3,1,7,1,,1,19,,,,49,13,1,,,,5,107,257,255,13
6/16/2021,SN493093 2021-06-16,9,,59,,,,1,,6,1,,12,34,,,,101,17,1,,,,3,156,400,296,11
6/17/2021,SN493093 2021-06-17,9,,39,,,,,,2,,,5,51,,,,45,25,1,,,,2,128,307,230,9
6/18/2021,SN493093 2021-06-18,27,,63,,,,2,,4,5,,4,48,,,,114,22,1,,,,3,169,462,286,11
6/19/2021,SN493093 2021-06-19,33,,43,,,,1,,,1,,15,39,,,,123,23,3,,,,,205,486,322,9
6/20/2021,SN493093 2021-06-20,27,,59,,,,,1,1,2,,5,32,,,,146,9,1,,,2,1,177,463,362,12
6/21/2021,SN493093 2021-06-21,11,,47,,,,,,4,,,5,32,,1,,70,31,1,,,1,,133,336,426,10
6/22/2021,SN493093 2021-06-22,13,1,100,,,,2,8,17,,,4,22,,,,99,19,3,6,2,,22,187,505,413,14
6/23/2021,SN493093 2021-06-23,33,,42,,,1,1,5,8,1,,6,33,,,,22,6,1,7,1,,17,131,315,469,15
6/24/2021,SN493093 2021-06-24,16,,47,,,,,1,9,,,1,32,,,,23,1,1,1,,,7,97,236,323,11
6/25/2021,SN493093 2021-06-25,4,,55,,,,,,6,,,3,28,,1,,19,2,1,,,,1,63,183,178,10
6/26/2021,SN493093 2021-06-26,15,,35,,,,,,1,,,2,14,,1,,30,2,1,,,2,,64,167,197,10
6/27/2021,SN493093 2021-06-27,39,,154,,,,1,19,24,6,,4,29,,1,,112,12,3,,,,46,297,747,934,13
6/28/2021,SN493093 2021-06-28,41,,112,,,,1,2,31,4,,4,23,,,,72,11,1,,,16,40,178,536,688,13
6/29/2021,SN493093 2021-06-29,59,,50,,,,,1,3,,,3,20,,,,12,3,4,,,,11,53,219,197,10
6/30/2021,SN493093 2021-06-30,15,,132,,,,,4,16,,,4,18,,,,20,5,3,,,1,17,144,379,445,11
7/1/2021,SN493093 2021-07-01,62,,116,,,,,19,35,,,2,55,,,,44,21,2,1,,1,60,280,698,472,12
7/2/2021,SN493093 2021-07-02,190,,73,,,,,18,37,,,2,29,1,,,52,19,2,,,6,57,220,706,512,12
7/3/2021,SN493093 2021-07-03,141,,63,,,,,2,17,,,2,61,3,,,46,10,2,,,1,34,249,631,509,12
7/4/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2021,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2021,SN493093 2021-07-09,71,,294,,,1,,9,29,2,,2,17,,,,69,19,3,,,1,54,277,848,556,13
7/10/2021,SN493093 2021-07-10,152,,391,,,,3,6,21,,,2,9,,,,56,27,1,,,,68,325,1061,456,11
7/11/2021,SN493093 2021-07-11,47,1,234,,,,1,1,1,13,,2,10,,,,64,15,2,,,,74,291,756,434,13
7/12/2021,SN493093 2021-07-12,154,3,294,,,,1,13,41,,,,11,2,,,38,7,3,,,14,64,228,873,458,13
7/13/2021,SN493093 2021-07-13,199,,315,,,,,5,8,13,,1,8,1,,,13,6,1,1,,,35,294,900,280,13
7/14/2021,SN493093 2021-07-14,128,,126,,,,1,14,13,,,,9,,,,11,6,1,2,,1,32,166,510,425,12
7/15/2021,SN493093 2021-07-15,9,,32,,,1,6,31,120,8,,2,8,7,,,23,,,2,,17,198,244,708,816,14
7/16/2021,SN493093 2021-07-16,2,,210,,,1,,41,45,37,,,4,,,,3,1,,9,,,594,425,1372,360,11
7/17/2021,SN493093 2021-07-17,8,,53,,,,,8,68,7,,5,50,2,,,22,5,,9,,1,187,304,729,934,13
7/18/2021,SN493093 2021-07-18,29,1,90,,,,1,38,111,2,,4,36,1,,,49,10,1,4,,,367,341,1085,736,15
7/19/2021,SN493093 2021-07-19,36,,178,,,1,,6,75,1,,2,33,2,,,19,2,1,,,1,79,202,638,544,14
7/20/2021,SN493093 2021-07-20,79,,180,,,1,,20,105,,,2,39,,,,22,6,1,,,,126,286,867,694,11
